name,id,RS0015,RS0083,RS0095,RS0109,RS0175,RS0237,RS0247,RS0255,RS0307,RS0332,RS0343,RS0384,RS0406,RS0451,RS0468,RS0548
Zfp13,ENSMUST00000057029,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
blank_01,,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
blank_02,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
blank_03,,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0
blank_04,,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0
blank_05,,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0
blank_06,,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0
Adamts7,ENSMUST00000113060,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
Adgrg6,ENSMUST00000041168,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
Ado,ENSMUST00000075686,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0
Arhgef11,ENSMUST00000039476,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
Atg9b,ENSMUST00000059401,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
Baz2b,ENSMUST00000112550,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0
Brsk1,ENSMUST00000048248,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
Ckap2,ENSMUST00000046916,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
Crtc1,ENSMUST00000076615,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
Ddx11,ENSMUST00000163605,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
Dis3l,ENSMUST00000168844,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0
Eea1,ENSMUST00000053484,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0
Git1,ENSMUST00000037285,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
Gm996,ENSMUST00000188161,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
Gnptab,ENSMUST00000020251,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
Gprasp1,ENSMUST00000113144,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
Hecw2,ENSMUST00000087659,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Itga8,ENSMUST00000028106,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0
Kdm2b,ENSMUST00000046073,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0
Maml3,ENSMUST00000121440,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Mreg,ENSMUST00000048860,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1
Nckap5l,ENSMUST00000023747,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0
Nuak1,ENSMUST00000020220,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0
Pcdhac2,ENSMUST00000047479,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
Pid1,ENSMUST00000168574,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
Ppp1r26,ENSMUST00000040324,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
Primpol,ENSMUST00000040468,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
Rab11fip5,ENSMUST00000204087,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0
Rab3ip,ENSMUST00000020375,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
Rab44,ENSMUST00000132262,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0
Scarf1,ENSMUST00000042808,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0
Scube3,ENSMUST00000043503,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
Slc35d2,ENSMUST00000099441,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
Smg7,ENSMUST00000073441,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
Tmem151a,ENSMUST00000077066,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0
Tnip3,ENSMUST00000114236,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0
Txlna,ENSMUST00000084264,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1
