name,id,RS0015,RS0083,RS0095,RS0109,RS0175,RS0237,RS0247,RS0255,RS0307,RS0332,RS0343,RS0384,RS0406,RS0451,RS0468,RS0548
VCAN,ENST00000505615.1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
ZBTB20,ENST00000470186.1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1
ZNF106,ENST00000263805.8,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
PRRC2C,ENST00000367742.7,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
LY6E,ENST00000429120.6,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
NRP2,ENST00000360409.7,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1
PAXBP1,ENST00000466846.5,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
EMID1,ENST00000334018.11,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
LGALS3BP,ENST00000262776.8,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
NPY1R,ENST00000296533.3,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
ZKSCAN1,ENST00000324306.11,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
MDM4,ENST00000367182.8,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
TPR,ENST00000367478.9,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1
UQCR10,ENST00000330029.6,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
SEC61G,ENST00000352861.9,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
FAM46A,ENST00000320172.11,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
CALM1,ENST00000553542.5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1
DDT,ENST00000350608.7,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
PODXL,ENST00000378555.8,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
TRIM38,ENST00000357085.5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
